entity,label,frequency
Forbid,ROLE,2
Fore,ROLE,2
Fortune,ROLE,7
Foul,ROLE,2
French,ROLE,5
Frenchman,ROLE,1
Friar,ROLE,26
Gentle,ROLE,1
Gentlewoman,ROLE,1
Gentlewomen,ROLE,1
German,ROLE,1
Ghost,ROLE,2
God,ROLE,77
Golgotha,ROLE,1
Grapples,ROLE,1
Great,ROLE,2
Great Dunsinane,ROLE,1
Grows,ROLE,1
Guests,ROLE,1
Hail,ROLE,2
Hand,ROLE,1
Hath,ROLE,1
Head,ROLE,1
Heart,ROLE,1
Heaven,ROLE,2
Hence,ROLE,7
Hiems,ROLE,1
Highness,ROLE,9
Highness Command,ROLE,1
Himself,ROLE,1
Hit,ROLE,1
Holding,ROLE,1
Honest,ROLE,1
Hours,ROLE,1
Howe’er,ROLE,1
Hymen,ROLE,1
Hyrcan,ROLE,1
Indian,ROLE,2
Indian air,ROLE,1
Intended,ROLE,1
Jack,ROLE,1
Jew,ROLE,2
Kisses,ROLE,1
LORD,ROLE,1
Ladies,ROLE,1
Lady,ROLE,1
Led,ROLE,1
Lifts,ROLE,1
Light,ROLE,1
Lion,ROLE,2
Little,ROLE,1
Live,ROLE,1
Lives,ROLE,1
Lord,ROLE,13
Lords,ROLE,1
Lordship,ROLE,1
Love,ROLE,1
Lover,ROLE,1
Lovers,ROLE,2
Lucentio,ROLE,1
Macbeth:—marry,ROLE,1
Majesty,ROLE,4
Makes,ROLE,1
Maskers,ROLE,1
Masters,ROLE,8
Meaning,ROLE,1
Measure,ROLE,1
Meet,ROLE,1
Men,ROLE,1
Merciful,ROLE,1
Merry,ROLE,1
Messenger,ROLE,8
Methought,ROLE,1
Midnight,ROLE,1
Mistress,ROLE,1
Monsieur,ROLE,3
Montagues,ROLE,2
Moon,ROLE,1
Moves,ROLE,1
Muffle,ROLE,1
Murder,ROLE,2
Murderer,ROLE,2
Murderers,ROLE,5
Murder’d,ROLE,1
Muses,ROLE,1
Musicians,ROLE,2
Nature,ROLE,4
Never,ROLE,2
Night,ROLE,1
Noise,ROLE,1
Norweyan,ROLE,2
Nothing,ROLE,2
Nurse,ROLE,52
Officers,ROLE,1
Old,ROLE,1
One,ROLE,1
PRINCE,ROLE,4
Page,ROLE,1
Partizans,ROLE,1
Passion,ROLE,1
Peer’d,ROLE,1
Perchance,ROLE,1
Perigenia,ROLE,1
Physic,ROLE,1
Porter,ROLE,1
Posters,ROLE,1
Pray,ROLE,1
Prince,ROLE,65
Proceeding,ROLE,1
Prologue,ROLE,1
Pronounce,ROLE,1
Pr’ythee,ROLE,1
Pygmies,ROLE,1
Queen,ROLE,4
Read,ROLE,1
Record,ROLE,1
Remove,ROLE,1
Roman,ROLE,1
Russian,ROLE,1
SECOND WATCH,ROLE,6
SECOND WITCH,ROLE,1
SEXTON,ROLE,3
SNUG Masters,ROLE,1
Saint,ROLE,3
Saucy,ROLE,1
Scarcely,ROLE,1
Scaring,ROLE,1
Scornful,ROLE,1
Servant,ROLE,14
Servants,ROLE,4
Shafalus,ROLE,1
Shall,ROLE,10
Shame,ROLE,1
Should,ROLE,1
Shut,ROLE,1
Shuts,ROLE,1
Signior,ROLE,9
Silence,ROLE,1
Sisters,ROLE,2
Sleep,ROLE,9
Slow,ROLE,1
Snug,ROLE,1
Son,ROLE,2
Soundly,ROLE,1
Sovereign,ROLE,1
Spaniard,ROLE,1
Spartan,ROLE,1
Speak,ROLE,1
Speakest,ROLE,1
Speaking,ROLE,1
Stand,ROLE,1
Stands,ROLE,1
Stars,ROLE,1
Stepp’d,ROLE,1
Sticks,ROLE,1
Strike,ROLE,2
Sweet,ROLE,5
Swelter’d,ROLE,1
THIRD WATCH,ROLE,1
THIRD WITCH,ROLE,13
Tartar,ROLE,1
Tempt,ROLE,1
Than,ROLE,3
Thane,ROLE,9
Therefore,ROLE,1
Thessalian,ROLE,1
Thou,ROLE,23
Thracian,ROLE,1
Thy,ROLE,1
Tickle,ROLE,1
Tide,ROLE,1
Ties,ROLE,1
Tiger,ROLE,1
Told,ROLE,1
Tongue,ROLE,1
Tonight,ROLE,4
Train,ROLE,2
Turk,ROLE,1
Twas,ROLE,2
Twixt,ROLE,1
Unfix,ROLE,1
Unknown,ROLE,1
Venus,ROLE,1
Watch,ROLE,8
Weeds,ROLE,1
Weird,ROLE,1
Whereto,ROLE,1
Wherever,ROLE,1
Whispers,ROLE,1
Whole,ROLE,1
Whom,ROLE,5
Wife,ROLE,3
Witch,ROLE,1
Witches,ROLE,6
Wives,ROLE,1
Worthy,ROLE,1
Writ,ROLE,1
Yea,ROLE,2
You,ROLE,3
Young,ROLE,2
are.—You,ROLE,1
arm’d,ROLE,5
bier,ROLE,1
bove,ROLE,1
buds,ROLE,1
bush,ROLE,1
call’d,ROLE,1
comfort,ROLE,2
commit’st,ROLE,1
conjur’d,ROLE,1
dew,ROLE,1
discovery,ROLE,1
dishonour’d,ROLE,1
dost,ROLE,1
doth,ROLE,17
doth reign,ROLE,1
enanmour’d,ROLE,1
eyes.—Now,ROLE,1
first And,ROLE,1
first I,ROLE,1
first and,ROLE,1
first battle,ROLE,1
first cock,ROLE,1
first cries,ROLE,1
first did,ROLE,1
first fall,ROLE,1
first house,ROLE,1
first i,ROLE,1
first is,ROLE,1
first possessed,ROLE,1
first tell,ROLE,1
first they,ROLE,1
first view,ROLE,1
"first,",ROLE,1
first.,ROLE,1
first:,ROLE,1
fleer,ROLE,1
ghost.—Thou,ROLE,1
gleek,ROLE,1
griffin,ROLE,1
halfpence,ROLE,1
hawk’d,ROLE,1
hearts!—You,ROLE,1
hurlyburly,ROLE,1
infold,ROLE,1
interchainèd,ROLE,1
levell’d,ROLE,1
limbeck,ROLE,1
look’st,ROLE,1
lord.—Light,ROLE,1
maid,ROLE,3
"man,—as",ROLE,1
med’cine,ROLE,1
mew’d,ROLE,3
midnight,ROLE,3
minister’d,ROLE,1
mir’d,ROLE,1
misgraffèd,ROLE,1
mistaketh,ROLE,1
moonlight,ROLE,4
peevish,ROLE,1
perjur’d,ROLE,2
quean,ROLE,1
rul’d,ROLE,2
sacrific’d,ROLE,1
second cause,ROLE,1
second chamber,ROLE,1
second cock,ROLE,2
second course,ROLE,1
second cup,ROLE,1
second grief,ROLE,1
second marriage,ROLE,1
second match,ROLE,1
second meeting,ROLE,1
sexton,ROLE,1
shoemaker,ROLE,1
sixth and,ROLE,2
sixth of,ROLE,1
sluttish hairs,ROLE,1
smok’d,ROLE,1
swearers,ROLE,2
th,ROLE,1
third,ROLE,3
third part,ROLE,1
"thirdly,",ROLE,2
thou,ROLE,21
thou hold’st,ROLE,1
th’,ROLE,4
tonight,ROLE,1
two,ROLE,1
uncover’d,ROLE,1
undivulg’d,ROLE,1
unrough youths,ROLE,1
utter’d,ROLE,1
"wean’d,—I",ROLE,1
wert,ROLE,1
whipt,ROLE,1
wind.—I,ROLE,1
wish’d,ROLE,1
wrong’st,ROLE,1
yet!—A,ROLE,1
Monday night,TIME,1
Tomorrow night,TIME,1
early tomorrow,TIME,1
forty minutes,TIME,1
half an hour,TIME,1
hours,TIME,1
last night,TIME,2
midnight,TIME,1
next morning,TIME,1
noon,TIME,1
seven-night,TIME,1
ten nights,TIME,2
this hour,TIME,1
this three hours,TIME,1
three-hours,TIME,1
tomorrow night,TIME,2
tonight,TIME,13
two and forty hours,TIME,1
two nights,TIME,1
wolvish-ravening,TIME,1
Acheron Meet,TITLE_PERSON,1
Ay’,TITLE_PERSON,3
BOTH MURDERERS,TITLE_PERSON,2
Black Spirits,TITLE_PERSON,1
Bull Jove,TITLE_PERSON,1
Carduus benedictus,TITLE_PERSON,1
Cavalery Cobweb,TITLE_PERSON,1
Come Lammas,TITLE_PERSON,1
Come Pentecost,TITLE_PERSON,1
Count Comfect,TITLE_PERSON,1
Disdaining Fortune,TITLE_PERSON,1
Ditch-,TITLE_PERSON,1
Don John,TITLE_PERSON,18
Don Pedro,TITLE_PERSON,20
Don Worm,TITLE_PERSON,1
Dunsinane hill,TITLE_PERSON,1
Enter Apothecary,TITLE_PERSON,1
Enter Bottom,TITLE_PERSON,2
Enter Chorus,TITLE_PERSON,1
Enter Hecate,TITLE_PERSON,1
Enter Lion,TITLE_PERSON,1
Enter Prince,TITLE_PERSON,1
Enter Servants,TITLE_PERSON,1
Enter Snug,TITLE_PERSON,1
Enter Watch,TITLE_PERSON,1
Exeunt Clowns,TITLE_PERSON,1
Exeunt Fairies,TITLE_PERSON,1
Exeunt Ladies,TITLE_PERSON,1
Exeunt Prince,TITLE_PERSON,1
Exeunt Prologue,TITLE_PERSON,1
Exeunt Wall,TITLE_PERSON,1
Exit Boy,TITLE_PERSON,1
Exit Captain,TITLE_PERSON,1
Exit Doctor,TITLE_PERSON,1
Exit Hecate,TITLE_PERSON,1
Exit Lady,TITLE_PERSON,1
Exit Moonshine,TITLE_PERSON,1
Exit Page,TITLE_PERSON,1
Exit Philostrate,TITLE_PERSON,2
Exit Snout,TITLE_PERSON,1
Fairy Queen,TITLE_PERSON,3
Four nights,TITLE_PERSON,1
Francis Flute,TITLE_PERSON,1
Friar Francis,TITLE_PERSON,3
Friar Lawrence,TITLE_PERSON,12
George Seacoal,TITLE_PERSON,1
Half sleep,TITLE_PERSON,1
Holy Franciscan,TITLE_PERSON,1
Holy Saint,TITLE_PERSON,1
Hugh Oatcake,TITLE_PERSON,1
Hugh Rebeck,TITLE_PERSON,1
Hundred Merry,TITLE_PERSON,1
I. DOGBERRY,TITLE_PERSON,1
I. Enter,TITLE_PERSON,1
I. LEONATO,TITLE_PERSON,1
I. MOTH,TITLE_PERSON,1
I. MUSTARDSEED,TITLE_PERSON,1
I. NURSE,TITLE_PERSON,1
I. ROMEO,TITLE_PERSON,1
I. Well,TITLE_PERSON,1
James Soundpost,TITLE_PERSON,1
Jesu Maria,TITLE_PERSON,1
LADY MACBETH,TITLE_PERSON,1
Lammas Eve,TITLE_PERSON,1
Mark Antony,TITLE_PERSON,1
Master Cobweb,TITLE_PERSON,1
Master Constable,TITLE_PERSON,6
Master Mustardseed,TITLE_PERSON,1
Master Peascod,TITLE_PERSON,1
Master Signior,TITLE_PERSON,1
Merciful heaven,TITLE_PERSON,1
Mistress Squash,TITLE_PERSON,1
Monsieur Love,TITLE_PERSON,1
Monsieur Mustardseed,TITLE_PERSON,1
Nick Bottom,TITLE_PERSON,2
PROLOGUE Gentles,TITLE_PERSON,1
Pale Hecate,TITLE_PERSON,1
Presenteth Moonshine,TITLE_PERSON,1
Prince wooss,TITLE_PERSON,1
Queen Mab,TITLE_PERSON,1
Retires ROMEO,TITLE_PERSON,1
Robin Starveling,TITLE_PERSON,2
Root of,TITLE_PERSON,1
SECOND SERVANT,TITLE_PERSON,5
SECOND WATCH,TITLE_PERSON,7
SECOND WITCH,TITLE_PERSON,1
Saint Francis,TITLE_PERSON,1
Saint Valentine,TITLE_PERSON,1
Scotch jig,TITLE_PERSON,2
Sees Helen,TITLE_PERSON,1
Signior Martino,TITLE_PERSON,1
Signior Mountanto,TITLE_PERSON,1
Signior Placentio,TITLE_PERSON,1
Simon Catling,TITLE_PERSON,1
Sisters Three,TITLE_PERSON,1
Susan Grindstone,TITLE_PERSON,1
Sweet Prince,TITLE_PERSON,2
Ten thousand,TITLE_PERSON,1
Than twenty,TITLE_PERSON,1
Thou know’st,TITLE_PERSON,2
Thou losest,TITLE_PERSON,1
Thou mayst,TITLE_PERSON,1
Thou wall,TITLE_PERSON,1
Tom Snout,TITLE_PERSON,1
Ursala Walk,TITLE_PERSON,1
Waiting-,TITLE_PERSON,1
Weird Sisters,TITLE_PERSON,1
Young Abraham,TITLE_PERSON,1
distill’d Than,TITLE_PERSON,1
dost deserve,TITLE_PERSON,1
doth live,TITLE_PERSON,1
four Fairies,TITLE_PERSON,1
half Count,TITLE_PERSON,1
healths five,TITLE_PERSON,1
six Maskers,TITLE_PERSON,1
ten thousand,TITLE_PERSON,2
thou art,TITLE_PERSON,1
thou been,TITLE_PERSON,2
thou beliest,TITLE_PERSON,1
thou dissembler,TITLE_PERSON,1
thou fall,TITLE_PERSON,1
thou hadst,TITLE_PERSON,1
thou hast,TITLE_PERSON,5
thou holily,TITLE_PERSON,1
thou kill’st,TITLE_PERSON,1
thou livest,TITLE_PERSON,1
thou serpent,TITLE_PERSON,1
twenty years,TITLE_PERSON,1
